,icd10 chapter,target,prevalence,time_stamp,recall,precision,f1-score,pr_auc,roc_auc,brier_score_loss,random_seed,target_label,training_percentage,estimator,featurizer,estimator_label
39,Neoplasms,2,20.204894706886737,08-26-2023-22-17-07,0.0,0.0,0.0,0.25204218441633597,0.6203401579232887,0.15824038230729165,3,2,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
40,Neoplasms,2,20.204894706886737,08-25-2023-10-20-09,0.49014084507042255,0.7467811158798283,0.5918367346938775,0.6526480532753794,0.8617749291756245,0.10496864143142558,0,2,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
41,Neoplasms,2,20.204894706886737,08-26-2023-21-07-54,0.0,0.0,0.0,0.5202370009934659,0.799194309939523,0.15141310712837341,1,2,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
42,Neoplasms,2,20.204894706886737,08-28-2023-17-06-40,0.0,0.0,0.0,0.14291338035037857,0.319892105844769,0.16831733846683633,4,2,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
43,Neoplasms,2,20.204894706886737,08-26-2023-13-14-53,0.059154929577464786,0.7,0.10909090909090909,0.6323520761341908,0.8566635189166383,0.11723514228017665,2,2,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
44,Neoplasms,2,20.204894706886737,08-25-2023-17-50-02,0.0676056338028169,0.8,0.12467532467532466,0.6359050561924031,0.8642623214321593,0.12354131057661298,1,2,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
45,Neoplasms,2,20.204894706886737,08-25-2023-19-39-53,0.04225352112676056,1.0,0.08108108108108109,0.683801204253814,0.8779670892688511,0.11521848990731072,1,2,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
46,Neoplasms,2,20.204894706886737,08-26-2023-23-27-13,0.29859154929577464,0.7310344827586207,0.42400000000000004,0.6236082197141778,0.8572120311024491,0.11538345878390761,3,2,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
47,Neoplasms,2,20.204894706886737,08-27-2023-01-23-46,0.5549295774647888,0.7786561264822134,0.6480263157894737,0.7069064678424827,0.8867211830182234,0.09380856950853164,3,2,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
48,Neoplasms,2,20.204894706886737,08-26-2023-22-39-28,0.0,0.0,0.0,0.37558860631930574,0.7224367603624602,0.14936437916135514,3,2,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
49,Neoplasms,2,20.204894706886737,08-27-2023-08-42-57,0.6084507042253521,0.72,0.6595419847328244,0.6926018011922673,0.8704386088284343,0.09749400804753693,4,2,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
50,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-27-2023-00-05-06,0.0,0.0,0.0,0.23679158862123623,0.7140475239616613,0.09183904370192646,3,3,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
51,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-21-37-39,0.0,0.0,0.0,0.0932559679309077,0.4336428381256656,0.1010337715685692,2,3,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
52,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-16-00-20,0.005208333333333333,1.0,0.010362694300518135,0.25628556297470145,0.6990615015974441,0.09160282885842724,2,3,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
53,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-28-2023-17-35-53,0.0,0.0,0.0,0.09204747382325416,0.4455504526091587,0.1004582597261563,4,3,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
54,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-25-2023-10-58-28,0.0,0.0,0.0,0.21869913965689874,0.7034245207667731,0.09232318765504728,0,3,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
55,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-25-2023-13-22-22,0.0,0.0,0.0,0.21121511893338016,0.6839456869009585,0.09370360223798307,0,3,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
56,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-27-2023-05-19-52,0.0,0.0,0.0,0.25650747286239517,0.7337593184238551,0.08983925878351977,3,3,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
57,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-20-15-43,0.0,0.0,0.0,0.09036377977433203,0.43112353567625133,0.09980721963907806,0,3,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
58,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-25-2023-20-41-03,0.0,0.0,0.0,0.22050707739123854,0.7056975505857295,0.09259610514506468,1,3,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
59,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-28-2023-12-48-05,0.0,0.0,0.0,0.2188255618535638,0.7051617412140574,0.09213193426965587,1,3,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
60,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-25-2023-18-26-30,0.0,0.0,0.0,0.202234023863196,0.6653055111821087,0.09376504474921334,1,3,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
61,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-22-23-40,0.0,0.0,0.0,0.12894460179961298,0.536238684771033,0.10074398395538797,3,3,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
62,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-20-36-27,0.0,0.0,0.0,0.12312339296069733,0.544698482428115,0.09719116950585419,0,3,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
63,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-18-42-44,0.005208333333333333,1.0,0.010362694300518135,0.24888902235479168,0.7006722577209799,0.09179994629407913,2,3,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
64,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-13-45-15,0.0,0.0,0.0,0.20696394168954224,0.6611954206602768,0.09370466838150884,2,3,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
65,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-22-00-33,0.0,0.0,0.0,0.1886976602930964,0.6176584132055378,0.09562167757015376,2,3,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
66,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-21-16-30,0.0,0.0,0.0,0.16109485774624485,0.5721778487752929,0.09979232823525262,1,3,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
67,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-20-55-59,0.0,0.0,0.0,0.13050539924457374,0.5498901757188498,0.09719790426852891,1,3,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
68,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-27-2023-09-53-38,0.0,0.0,0.0,0.2307249581441579,0.7156982161874335,0.09138495489796808,4,3,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
69,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-27-2023-02-32-07,0.0,0.0,0.0,0.2399921872724833,0.7233226837060704,0.09118016288782965,3,3,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
70,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-28-2023-17-12-24,0.0,0.0,0.0,0.09627443821410303,0.4649261182108626,0.10778876541385568,4,3,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
71,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-26-2023-22-48-48,0.0,0.0,0.0,0.1413038174677848,0.5874267838125666,0.09741944318572467,3,3,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
72,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-25-2023-16-30-18,0.0,0.0,0.0,0.260178107314721,0.7154219914802982,0.09129707660110468,0,3,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
73,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-27-2023-07-24-16,0.0,0.0,0.0,0.22272378746686997,0.6912872736954208,0.09279211054242509,4,3,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
74,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,10.927717700626067,08-27-2023-13-06-30,0.0,0.0,0.0,0.2070077839635489,0.6945936501597444,0.0932667263487104,4,3,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
75,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-22-15-18,0.3778705636743215,0.3926247288503254,0.3851063829787234,0.3870589138492472,0.6285133673766095,0.2087018257423363,3,4,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
76,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-14-47-24,0.35908141962421714,0.5227963525835866,0.42574257425742573,0.48923041185888644,0.7350848304860478,0.17252164846201912,2,4,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
77,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-27-2023-03-57-59,0.3465553235908142,0.5286624203821656,0.41866330390920553,0.4802345225879255,0.7179227067344919,0.17647211528829765,3,4,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
78,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-20-48-57,0.0041753653444676405,0.25,0.008213552361396302,0.37439372248016656,0.6281980913549028,0.21315380373267995,1,4,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
79,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-21-05-56,0.3674321503131524,0.43137254901960786,0.39684329199549045,0.38898011442966823,0.6327540749017418,0.207799983527467,1,4,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
80,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-25-2023-14-49-14,0.4112734864300626,0.5267379679144385,0.4618991793669402,0.48649152175303,0.7330526886673789,0.1739632434080209,0,4,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
81,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-28-2023-17-23-42,0.03966597077244259,0.6129032258064516,0.07450980392156863,0.40256001998391194,0.6635678137486483,0.18918510105935984,4,4,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
82,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-28-2023-11-23-49,0.4592901878914405,0.5238095238095238,0.489432703003337,0.48866517922481817,0.7327227106550227,0.17546550896080937,1,4,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
83,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-27-2023-01-04-39,0.23799582463465555,0.5671641791044776,0.33529411764705885,0.4720220108376065,0.7163128387583678,0.17592563276058887,3,4,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
84,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-25-2023-19-29-56,0.5156576200417536,0.5040816326530613,0.5098039215686275,0.4803048214276938,0.7285228419928058,0.17903222102064542,1,4,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
85,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-25-2023-11-57-44,0.2985386221294363,0.5070921985815603,0.3758212877792379,0.4708880785936832,0.7304896416308102,0.17578924575711594,0,4,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
86,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-28-2023-17-05-11,0.0,0.0,0.0,0.26500992596633166,0.48681639827365963,0.20304364098234784,4,4,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
87,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-20-25-52,0.1440501043841336,0.46621621621621623,0.22009569377990432,0.4059893410670274,0.6655019422963203,0.19541498051805914,0,4,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
88,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-20-08-28,0.022964509394572025,0.55,0.044088176352705406,0.3708146015961058,0.6310960170673776,0.19941049434591332,0,4,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
89,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-27-2023-11-28-54,0.3966597077244259,0.5093833780160858,0.4460093896713615,0.4791898704030435,0.7304030632414298,0.175411516678336,4,4,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
90,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-22-36-52,0.35073068893528186,0.41277641277641275,0.3792325056433409,0.4064987614337843,0.6475475446042062,0.20799337792601064,3,4,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
91,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-21-29-35,0.9770354906054279,0.27956989247311825,0.4347422201579192,0.30277585429330367,0.5408070086022981,0.31411845410967926,2,4,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
92,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-25-2023-10-09-23,0.24843423799582465,0.5384615384615384,0.34,0.445456093148679,0.7110487093285764,0.17930734458008588,0,4,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
93,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-23-16-03,0.325678496868476,0.5252525252525253,0.4020618556701031,0.4572028800074156,0.6923118390230037,0.1820279567263516,3,4,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
94,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-13-07-19,0.3924843423799583,0.5122615803814714,0.4444444444444445,0.4598361198049887,0.7165635893766683,0.17966427329508544,2,4,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
95,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-27-2023-08-25-37,0.348643006263048,0.526813880126183,0.4195979899497488,0.48037678653858207,0.7294572351763096,0.17522808453791025,4,4,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
96,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-27-2023-06-37-46,0.3695198329853862,0.5,0.4249699879951981,0.44841680892203173,0.7155540526854003,0.18027047299564616,4,4,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
97,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-17-20-28,0.33611691022964507,0.5420875420875421,0.4149484536082474,0.4850067391481193,0.7302593104439673,0.1741269750169868,2,4,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
98,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-26-2023-21-49-35,0.7995824634655533,0.33567046450482035,0.47283950617283954,0.42488463259941184,0.6600687399740591,0.24909345515904285,2,4,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
99,"Endocrine, nutritional and metabolic diseases",4,27.26237905520774,08-25-2023-17-43-12,0.3068893528183716,0.513986013986014,0.38431372549019605,0.45618403591235723,0.7141949353275767,0.18099948772634936,1,4,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
100,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-26-2023-22-40-26,0.0,0.0,0.0,0.22387001107487509,0.5926991002361761,0.14823123834046859,3,5,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
101,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-28-2023-17-07-15,0.0,0.0,0.0,0.15157161624304158,0.4794015279729975,0.14927705518032455,4,5,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
102,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-25-2023-15-21-55,0.10211267605633803,0.46774193548387094,0.1676300578034682,0.39889694610764187,0.7846805886233901,0.11506853405984142,0,5,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
103,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-26-2023-21-52-33,0.0,0.0,0.0,0.23274893410497793,0.5874616333438513,0.16989684496339663,2,5,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
104,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-26-2023-20-50-59,0.0,0.0,0.0,0.1587383140997474,0.43869462532151493,0.14298241458853125,1,5,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
105,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-25-2023-19-51-29,0.33098591549295775,0.5465116279069767,0.41228070175438597,0.4605172343441218,0.8077244867712725,0.11122088115671062,1,5,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
106,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-26-2023-17-46-37,0.19014084507042253,0.5142857142857142,0.27763496143958866,0.4010721749211201,0.7990925867492805,0.11373782519775859,2,5,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
107,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-27-2023-06-50-27,0.07746478873239436,0.4888888888888889,0.1337386018237082,0.35013085682676737,0.7239250164940765,0.1217007792348265,4,5,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
108,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-27-2023-04-22-50,0.31338028169014087,0.5266272189349113,0.39293598233995586,0.4110804846291422,0.7885531109262499,0.11455083252107665,3,5,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
109,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-25-2023-10-25-32,0.13380281690140844,0.4935064935064935,0.21052631578947367,0.35232614503161475,0.7452382318350019,0.12176796258326615,0,5,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
110,"Mental, Behavioral and Neurodevelopmental disorders",5,16.16391576550939,08-26-2023-15-08-23,0.2147887323943662,0.5304347826086957,0.3057644110275689,0.38946944378318415,0.7756949026132354,0.11637880899480259,2,5,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
