nabm_concept_name,nabm_concept_code,loinc_concept_name,loinc_concept_code
"UREE ET CREATININE POUR LES ACTES 0592 ET 0593, IL EST  RECOMMANDE POUR LE DOSAGE DE LA CREATININE D",593,Urea [Moles/volume] in Serum or Plasma,22664-7
"COMBINAISON DE NEUF MARQUEURS SANGUINS : ALPHA2-MACROGLOBULINE, ACIDE HYALURONIQUE, NUMERATION PLAQ",1001,Urea [Moles/volume] in Serum or Plasma,22664-7
SANG : UREE,591,Urea [Mass/volume] in Serum or Plasma,3091-6
"UREE ET CREATININE POUR LES ACTES 0592 ET 0593, IL EST  RECOMMANDE POUR LE DOSAGE DE LA CREATININE D",593,Urea [Mass/volume] in Serum or Plasma,3091-6
"COMBINAISON DE NEUF MARQUEURS SANGUINS : ALPHA2-MACROGLOBULINE, ACIDE HYALURONIQUE, NUMERATION PLAQ",1001,Urea [Mass/volume] in Serum or Plasma,3091-6
SANG : UREE,591,Urea/Creatinine [Molar ratio] in Serum or Plasma,39783-6
SANG : UREE,591,Urea/Creatinine [Mass Ratio] in Serum or Plasma,56997-0
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4, 3 PARAMETRES OU PLUS : DOSAGES",1394,IgG subclass 1 [Mass/volume] in Serum,2466-1
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 2 PARAMETRES : DOSAGE",1393,IgG subclass 1 [Mass/volume] in Serum,2466-1
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 1 PARAMETRE : DOSAGE",1392,IgG subclass 1 [Mass/volume] in Serum,2466-1
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4, 3 PARAMETRES OU PLUS : DOSAGES",1394,IgG subclass 2 [Mass/volume] in Serum,2467-9
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 2 PARAMETRES : DOSAGE",1393,IgG subclass 2 [Mass/volume] in Serum,2467-9
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 1 PARAMETRE : DOSAGE",1392,IgG subclass 2 [Mass/volume] in Serum,2467-9
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4, 3 PARAMETRES OU PLUS : DOSAGES",1394,IgG subclass 3 [Mass/volume] in Serum,2468-7
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 2 PARAMETRES : DOSAGE",1393,IgG subclass 3 [Mass/volume] in Serum,2468-7
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 1 PARAMETRE : DOSAGE",1392,IgG subclass 3 [Mass/volume] in Serum,2468-7
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4, 3 PARAMETRES OU PLUS : DOSAGES",1394,IgG subclass 4 [Mass/volume] in Serum,2469-5
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 2 PARAMETRES : DOSAGE",1393,IgG subclass 4 [Mass/volume] in Serum,2469-5
"IMMUNOGLOBULINES IGG1, IGG2, IGG3, IGG4 : 1 PARAMETRE : DOSAGE",1392,IgG subclass 4 [Mass/volume] in Serum,2469-5
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Urine by Confirmatory method,16229-7
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Urine,19402-7
CLONAZEPAM (RIVOTRIL),1669,clonazePAM cutoff [Mass/volume] in Urine for Screen method,19403-5
CLONAZEPAM (RIVOTRIL),1669,clonazePAM cutoff [Mass/volume] in Urine for Confirmatory method,19404-3
CLONAZEPAM (RIVOTRIL),1669,7-Aminoclonazepam [Mass/volume] in Serum or Plasma,28059-4
CLONAZEPAM (RIVOTRIL),1669,7-Aminoclonazepam [Mass/volume] in Urine,28073-5
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Gastric fluid,29399-3
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Serum or Plasma,3494-2
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Serum or Plasma by Screen method,35603-0
CLONAZEPAM (RIVOTRIL),1669,7-Aminoclonazepam [Mass/volume] in Urine by Confirmatory method,51776-3
CLONAZEPAM (RIVOTRIL),1669,7-Aminoclonazepam/Creatinine [Mass Ratio] in Urine,58364-1
CLONAZEPAM (RIVOTRIL),1669,7-Aminoclonazepam [Mass/volume] in Blood,59591-8
CLONAZEPAM (RIVOTRIL),1669,7-Aminoclonazepam [Mass/volume] in Blood by Confirmatory method,59592-6
CLONAZEPAM (RIVOTRIL),1669,7-Aminoclonazepam [Mass/volume] in Body fluid,59593-4
CLONAZEPAM (RIVOTRIL),1669,7-Aminoclonazepam [Mass/volume] in Body fluid by Confirmatory method,59594-2
CLONAZEPAM (RIVOTRIL),1669,7-Aminoclonazepam [Mass/volume] in Serum or Plasma by Confirmatory method,59595-9
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Blood,59636-1
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Blood by Confirmatory method,59637-9
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Body fluid,59638-7
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Body fluid by Confirmatory method,59639-5
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Serum or Plasma by Confirmatory method,59640-3
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Saliva (oral fluid) by Confirmatory method,72755-2
CLONAZEPAM (RIVOTRIL),1669,clonazePAM [Mass/volume] in Serum or Plasma --trough,82934-1
TOXOPLASMOSE GROSSESSE : CULTURE ET INOCULATION,1436,Toxoplasma gondii [Presence] in Tissue by Organism specific culture,14838-7
TOXOPLASMOSE CAS GENERAL : CULTURE CELLULAIRE,1424,Toxoplasma gondii [Presence] in Tissue by Organism specific culture,14838-7
TOXOPLASMOSE GROSSESSE : CULTURE CELLULAIRE,1434,Toxoplasma gondii [Presence] in Tissue by Organism specific culture,14838-7
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis,12851-2
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis,12851-2
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Immunoelectrophoresis for Serum or Plasma,13169-8
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,Immunoelectrophoresis for Serum or Plasma,13169-8
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Alpha 1 globulin/Protein.total in Serum or Plasma by Electrophoresis,13978-2
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Alpha 1 globulin/Protein.total in Serum or Plasma by Electrophoresis,13978-2
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Prealbumin/Protein.total in Serum or Plasma by Electrophoresis,13979-0
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Prealbumin/Protein.total in Serum or Plasma by Electrophoresis,13979-0
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Albumin/Protein.total in Serum or Plasma by Electrophoresis,13980-8
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Albumin/Protein.total in Serum or Plasma by Electrophoresis,13980-8
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Alpha 2 globulin/Protein.total in Serum or Plasma by Electrophoresis,13981-6
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Alpha 2 globulin/Protein.total in Serum or Plasma by Electrophoresis,13981-6
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Beta globulin/Protein.total in Serum or Plasma by Electrophoresis,13982-4
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Beta globulin/Protein.total in Serum or Plasma by Electrophoresis,13982-4
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Gamma globulin/Protein.total in Serum or Plasma by Electrophoresis,13983-2
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Gamma globulin/Protein.total in Serum or Plasma by Electrophoresis,13983-2
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Gammopathy [Interpretation] in Serum or Plasma by Electrophoresis,14340-4
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Gammopathy [Interpretation] in Serum or Plasma by Electrophoresis,14340-4
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Protein Fractions [Interpretation] in Serum or Plasma by Immunofixation,14895-7
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,Protein Fractions [Interpretation] in Serum or Plasma by Immunofixation,14895-7
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgA [Presence] in Serum by Immunoelectrophoresis,15182-9
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgA [Presence] in Serum by Immunoelectrophoresis,15182-9
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgG [Presence] in Serum by Immunoelectrophoresis,15184-5
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgG [Presence] in Serum by Immunoelectrophoresis,15184-5
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgM [Presence] in Serum by Immunoelectrophoresis,15186-0
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgM [Presence] in Serum by Immunoelectrophoresis,15186-0
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgA [Presence] in Serum by Immunofixation,18299-8
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgA [Presence] in Serum by Immunofixation,18299-8
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgG [Presence] in Serum by Immunofixation,18301-2
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgG [Presence] in Serum by Immunofixation,18301-2
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgM [Presence] in Serum by Immunofixation,18303-8
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgM [Presence] in Serum by Immunofixation,18303-8
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Kappa light chains [Presence] in Serum by Immunoelectrophoresis,25681-8
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,Kappa light chains [Presence] in Serum by Immunoelectrophoresis,25681-8
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Lambda light chains [Presence] in Serum by Immunoelectrophoresis,25683-4
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,Lambda light chains [Presence] in Serum by Immunoelectrophoresis,25683-4
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Immunofixation for Serum or Plasma,25700-6
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,Immunofixation for Serum or Plasma,25700-6
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,2862-1
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,2862-1
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,2865-4
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,2865-4
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,2868-8
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,2868-8
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis,2871-2
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis,2871-2
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis,2874-6
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis,2874-6
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Prealbumin [Mass/volume] in Serum or Plasma by Electrophoresis,2877-9
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Prealbumin [Mass/volume] in Serum or Plasma by Electrophoresis,2877-9
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgD [Presence] in Serum by Immunofixation,30081-4
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgD [Presence] in Serum by Immunofixation,30081-4
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgE [Presence] in Serum by Immunofixation,30082-2
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgE [Presence] in Serum by Immunofixation,30082-2
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Beta 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,32730-4
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Beta 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,32730-4
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,32731-2
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,32731-2
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Beta 1 globulin/Protein.total in Serum or Plasma by Electrophoresis,32732-0
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Beta 1 globulin/Protein.total in Serum or Plasma by Electrophoresis,32732-0
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Beta 2 globulin/Protein.total in Serum or Plasma by Electrophoresis,32733-8
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Beta 2 globulin/Protein.total in Serum or Plasma by Electrophoresis,32733-8
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis,33358-3
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis,33358-3
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Protein.monoclonal/Protein.total in Serum or Plasma by Electrophoresis,33647-9
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Protein.monoclonal/Protein.total in Serum or Plasma by Electrophoresis,33647-9
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Protein Fractions [Interpretation] in Serum or Plasma,34641-1
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Protein Fractions [Interpretation] in Serum or Plasma,34641-1
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Protein.monoclonal band 2 [Mass/volume] in Serum or Plasma by Electrophoresis,35559-4
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Protein.monoclonal band 2 [Mass/volume] in Serum or Plasma by Electrophoresis,35559-4
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Alpha-2-Macroglobulin [Presence] in Serum by Immunoelectrophoresis,40605-8
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,Alpha-2-Macroglobulin [Presence] in Serum by Immunoelectrophoresis,40605-8
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Kappa light chains [Presence] in Serum by Immunofixation,40635-5
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,Kappa light chains [Presence] in Serum by Immunofixation,40635-5
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Lambda light chains [Presence] in Serum by Immunofixation,40639-7
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,Lambda light chains [Presence] in Serum by Immunofixation,40639-7
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Beta globulin [Presence] in Serum or Plasma by Electrophoresis,43836-6
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Beta globulin [Presence] in Serum or Plasma by Electrophoresis,43836-6
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Albumin/Globulin [Mass Ratio] in Serum or Plasma by Electrophoresis,44429-9
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Albumin/Globulin [Mass Ratio] in Serum or Plasma by Electrophoresis,44429-9
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Kappa light chains.free [Presence] in Serum by Immunofixation,44555-1
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,Kappa light chains.free [Presence] in Serum by Immunofixation,44555-1
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgA.monoclonal [Presence] in Serum by Immunofixation,44587-4
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgA.monoclonal [Presence] in Serum by Immunofixation,44587-4
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgG.monoclonal [Presence] in Serum by Immunofixation,44597-3
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgG.monoclonal [Presence] in Serum by Immunofixation,44597-3
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,IgM.monoclonal [Presence] in Serum by Immunofixation,44601-3
RECHERCHE OU TYPAGE D'UNE  DYSGLOBULINEMIE MONOCLONALE PAR  IMMUNO-ELECTROPHORESE OU IMMUNOFIXATION,1571,IgM.monoclonal [Presence] in Serum by Immunofixation,44601-3
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Beta 2 globulin+Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis,44911-6
"PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,",570,Beta 2 globulin+Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis,44911-6
PROTEINOGRAMME 0570 ET TYPAGE 1571,1572,Beta 2 globulin+Gamma globulin/Protein.total in Serum or Plasma by Electrophoresis,44912-4
