concept_code,concept_name,concept_chapter,concept_category
A278,autres formes de leptospirose,1,A27
A279,"leptospirose, sans précision",1,A27
A28,"autres anthropozoonoses bactériennes, non classées ailleurs",1,A28
A280,pasteurellose,1,A28
A281,maladie des griffes du chat,1,A28
A282,yersiniose extra-intestinale,1,A28
A288,"autres anthropozoonoses bactériennes précisées, non classées ailleurs",1,A28
A289,"anthropozoonose bactérienne, sans précision",1,A28
A30,lèpre [maladie de hansen],1,A30
A300,lèpre indéterminée,1,A30
A301,lèpre tuberculoïde,1,A30
A302,lèpre tuberculoïde de type intermédiaire atypique,1,A30
A303,lèpre de type intermédiaire atypique,1,A30
A304,lèpre lépromateuse de type intermédiaire atypique,1,A30
A305,lèpre lépromateuse,1,A30
A308,autres formes de lèpre,1,A30
A309,"lèpre, sans précision",1,A30
A31,infections dues à d'autres mycobactéries,1,A31
A310,infection pulmonaire à mycobactéries atypiques,1,A31
A311,infection cutanée à mycobacteries atypiques,1,A31
A318,autres infections à mycobacteries atypiques,1,A31
A319,"infection à mycobacteries atypiques, sans précision",1,A31
A32,listériose,1,A32
A320,listériose cutanée,1,A32
A321,méningite et méningo-encéphalite listériennes,1,A32
A327,sepsis à listeria,1,A32
A328,autres formes de listériose,1,A32
A329,"listériose, sans précision",1,A32
A33,tétanos néonatal,1,A33
A34,tétanos obstétrical,1,A34
A35,autres formes de tétanos,1,A35
A36,diphtérie,1,A36
A360,diphtérie pharyngée,1,A36
A361,diphtérie rhinopharyngée,1,A36
A362,diphtérie laryngée,1,A36
A363,diphtérie cutanée,1,A36
A368,autres formes de diphtérie,1,A36
A369,"diphtérie, sans précision",1,A36
A37,coqueluche,1,A37
A370,coqueluche à bordetella pertussis,1,A37
A371,coqueluche à bordetella parapertussis,1,A37
A378,coqueluche due à d'autres espèces de bordetella,1,A37
A379,"coqueluche, sans précision",1,A37
A38,scarlatine,1,A38
A39,infection à méningocoques,1,A39
A390,méningite à méningocoques (g01*),1,A39
A391,syndrome de waterhouse-friderichsen (e35.1*),1,A39
A392,méningococcémie aiguë,1,A39
A393,méningococcémie chronique,1,A39
A394,"méningococcémie, sans précision",1,A39
A395,cardite à méningocoques,1,A39
A398,autres infections à méningocoques,1,A39
A399,"infection méningococcique, sans précision",1,A39
A40,sepsis à streptocoques,1,A40
A400,"sepsis à streptocoques, groupe a",1,A40
A401,"sepsis à streptocoques, groupe b",1,A40
A402,"sepsis à streptocoques, groupe d",1,A40
A403,sepsis à streptococcus pneumoniae,1,A40
A408,autres sepsis à streptocoques,1,A40
A409,"sepsis à streptocoques, sans précision",1,A40
A41,autres sepsis,1,A41
A410,sepsis à staphylocoques dorés,1,A41
A411,sepsis à d'autres staphylocoques précisés,1,A41
A412,sepsis à staphylocoques non précisés,1,A41
A413,sepsis à haemophilus influenzae,1,A41
A414,sepsis à micro-organismes anaérobies,1,A41
A415,sepsis à d'autres micro-organismes gram négatif,1,A41
A418,autres sepsis précisés,1,A41
A419,"sepsis, sans précision",1,A41
A42,actinomycose,1,A42
A420,actinomycose pulmonaire,1,A42
A421,actinomycose abdominale,1,A42
A422,actinomycose cervico-faciale,1,A42
A427,sepsis actinomycosique,1,A42
A428,autres formes d'actinomycose,1,A42
A429,"actinomycose, sans précision",1,A42
A43,nocardiose,1,A43
A430,nocardiose pulmonaire,1,A43
A431,nocardiose cutanée,1,A43
A438,autres formes de nocardiose,1,A43
A439,"nocardiose, sans précision",1,A43
A44,bartonellose,1,A44
A440,bartonellose généralisée,1,A44
A441,bartonellose cutanée et cutanéo-muqueuse,1,A44
A448,autres formes de bartonellose,1,A44
A449,"bartonellose, sans précision",1,A44
A46,érysipèle,1,A46
A48,"autres maladies bactériennes, non classées ailleurs",1,A48
A480,gangrène gazeuse,1,A48
A481,maladie des légionnaires (pulmonaire),1,A48
A482,"maladie des légionnaires, sans signes pulmonaires [fièvre de pontiac]",1,A48
A483,syndrome du choc toxique,1,A48
A484,fièvre purpurique du brésil,1,A48
A488,autres maladies bactériennes précisées,1,A48
A49,"infection bactérienne, siège non précisé",1,A49
A490,"infection à staphylocoques, siège non précisé",1,A49
A491,"infection à streptocoques, siège non précisé",1,A49
A492,"infection à haemophilus influenzae, siège non précisé",1,A49
A493,"infection à mycoplasma, siège non précisé",1,A49
A498,"autres infections bactériennes, siège non précisé",1,A49
A499,"infection bactérienne, sans précision",1,A49
A50,syphilis congénitale,1,A50
A500,"syphilis congénitale précoce, symptomatique",1,A50
A501,"syphilis congénitale précoce, latente",1,A50
A502,"syphilis congénitale précoce, sans précision",1,A50
A503,oculopathie syphilitique congénitale tardive,1,A50
A504,syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],1,A50
A505,"autres formes tardives de syphilis congénitale, symptomatique",1,A50
A506,"syphilis congénitale tardive, latente",1,A50
A507,"syphilis congénitale tardive, sans précision",1,A50
A509,"syphilis congénitale, sans précision",1,A50
A51,syphilis précoce,1,A51
A510,syphilis génitale primaire,1,A51
A511,syphilis anale primaire,1,A51
A512,syphilis primaire d'autres localisations,1,A51
A513,syphilis secondaire de la peau et des muqueuses,1,A51
A514,autres formes de syphilis secondaire,1,A51
A515,"syphilis précoce, latente",1,A51
A519,"syphilis précoce, sans précision",1,A51
A52,syphilis tardive,1,A52
A520,syphilis cardio-vasculaire,1,A52
A521,syphilis nerveuse symptomatique,1,A52
A522,syphilis nerveuse asymptomatique,1,A52
A523,"syphilis nerveuse, sans précision",1,A52
A527,autres formes tardives de syphilis symptomatique,1,A52
A528,"syphilis tardive, latente",1,A52
A529,"syphilis tardive, sans précision",1,A52
A53,"syphilis, autres et sans précision",1,A53
A530,"syphilis latente, (non précisée précoce ou tardive)",1,A53
A539,"syphilis, sans précision",1,A53
A54,infection gonococcique,1,A54
A540,"infection gonococcique de la partie inférieure de l'appareil génito-urinaire, (sans abcès périurétral ou des glandes annexes)",1,A54
A541,"infection gonococcique de la partie inférieure de l'appareil génito-urinaire, avec abcès périurétral et des glandes annexes",1,A54
A542,pelvipéritonite gonococcique et autres infections génito-urinaires gonococciques,1,A54
A543,infection gonococcique de l'oeil,1,A54
A544,infection gonococcique du système ostéo-articulaire et des muscles,1,A54
A545,pharyngite gonococcique,1,A54
A546,infection gonococcique de l'anus et du rectum,1,A54
A548,autres infections gonococciques,1,A54
A549,"infection gonococcique, sans précision",1,A54
A55,lymphogranulomatose vénérienne à chlamydia,1,A55
A56,autres infections à chlamydia transmises par voie sexuelle,1,A56
A560,infection à chlamydia de la partie inférieure de l'appareil génito-urinaire,1,A56
A561,"infection à chlamydia, pelvi-péritonéale et des autres organes génito-urinaires",1,A56
A562,"infection à chlamydia de l'appareil génito-urinaire, sans précision",1,A56
A563,infection à chlamydia de l'anus et du rectum,1,A56
A564,infection à chlamydia du pharynx,1,A56
A568,"infection à chlamydia transmise par voie sexuelle, autres localisations",1,A56
A57,chancre mou,1,A57
A58,granulome inguinal,1,A58
A59,trichomonase,1,A59
A590,trichomonase uro-génitale,1,A59
A598,autres localisations de trichomonase,1,A59
A599,"trichomonase, sans précision",1,A59
A60,infection ano-génitale par le virus de l'herpès [herpes simplex],1,A60
A600,infection des organes génitaux et de l'appareil génito-urinaire par le virus de l'herpès,1,A60
A601,"infection de la marge cutanée de l'anus et du rectum, par le virus de l'herpès",1,A60
A609,"infection ano-génitale par le virus de l'herpès, sans précision",1,A60
A63,"autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs",1,A63
A630,condylomes ano-génitaux (vénériens),1,A63
A6300,condylomes anaux (vénériens),1,A63
A6308,autres condylomes ano-génitaux (vénériens),1,A63
A638,autres maladies précisées dont le mode de transmission est essentiellement sexuel,1,A63
A64,"maladie sexuellement transmise, sans précision",1,A64
A65,syphilis non vénérienne,1,A65
A66,pian,1,A66
A660,lésions initiales du pian,1,A66
A661,papillomes multiples et pian plantaire humide (pian-crabe),1,A66
A662,autres lésions cutanées précoces du pian,1,A66
A663,hyperkératose pianique,1,A66
A664,gommes et ulcères pianiques,1,A66
A665,gangosa,1,A66
A666,lésions ostéo-articulaires pianiques,1,A66
A667,autres manifestations du pian,1,A66
A668,pian latent,1,A66
A669,"pian, sans précision",1,A66
A67,pinta [caraté],1,A67
A670,lésions initiales de la pinta,1,A67
A671,lésions intermédiaires de la pinta,1,A67
A672,lésions tardives de la pinta,1,A67
A673,lésions mixtes de la pinta,1,A67
A679,"pinta, sans précision",1,A67
A68,fièvres récurrentes [borrélioses],1,A68
A680,fièvre récurrente [borréliose] à poux,1,A68
A681,fièvre récurrente [borréliose] à tiques,1,A68
A689,"fièvre récurrente [borréliose], sans précision",1,A68
A69,autres infections à spirochètes,1,A69
A690,stomatite ulcéro-nécrotique,1,A69
A691,autres infections dites de vincent,1,A69
A692,maladie de lyme,1,A69
A698,autres infections à spirochètes précisées,1,A69
A699,"infection à spirochètes, sans précision",1,A69
A70,infection à chlamydia psittaci,1,A70
A71,trachome,1,A71
A710,phase initiale du trachome,1,A71
A711,phase active du trachome,1,A71
A719,"trachome, sans précision",1,A71
A74,autres infections à chlamydia,1,A74
A740,conjonctivite à chlamydia (h13.1*),1,A74
A748,autres infections à chlamydia précisées,1,A74
A749,"infection à chlamydia, sans précision",1,A74
A75,typhus,1,A75
A750,typhus épidémique à poux dû à rickettsia prowazekii,1,A75
A751,typhus résurgent [maladie de brill],1,A75
A752,typhus à rickettsia typhi,1,A75
A753,typhus à rickettsia tsutsugamushi,1,A75
A759,"typhus, sans précision",1,A75
A77,fièvre pourprée [rickettsioses à tiques],1,A77
A770,fièvre pourprée à rickettsia rickettsii,1,A77
A771,fièvre pourprée à rickettsia conorii,1,A77
A772,fièvre pourprée due à rickettsia sibirica,1,A77
A773,fièvre pourprée due à rickettsia australis,1,A77
A778,autres fièvres pourprées,1,A77
A779,"fièvre pourprée, sans précision",1,A77
A78,fièvre q,1,A78
A79,autres rickettsioses,1,A79
A790,fièvres des tranchées,1,A79
A791,rickettsiose varicelliforme due à rickettsia akari,1,A79
A798,autres types précisés de rickettsiose,1,A79
A799,"rickettsiose, sans précision",1,A79
A80,poliomyélite aiguë,1,A80
A800,"poliomyélite paralytique aiguë, associée au virus vaccinal",1,A80
A801,"poliomyélite paralytique aiguë, virus sauvage importé",1,A80
A802,"poliomyélite paralytique aiguë, virus sauvage indigène",1,A80
A803,"poliomyélites paralytiques aiguës, autres et sans précision",1,A80
A804,poliomyélite aiguë non paralytique,1,A80
A809,"poliomyélite aiguë, sans précision",1,A80
A81,"infections atypiques à virus, du système nerveux central",1,A81
A810,maladie de creutzfeldt-jakob,1,A81
A811,panencéphalite sclérosante subaiguë,1,A81
A812,leucoencéphalopathie multifocale (progressive),1,A81
A818,"autres infections atypiques à virus, du système nerveux central",1,A81
A819,"infection atypique à virus, du système nerveux central, sans précision",1,A81
A82,rage,1,A82
A820,rage sylvatique,1,A82
A821,rage des rues [rage citadine],1,A82
A829,"rage, sans précision",1,A82
A83,encéphalite virale transmise par des moustiques,1,A83
A830,encéphalite japonaise,1,A83
A831,encéphalite équine occidentale,1,A83
A832,encéphalite équine orientale,1,A83
A833,encéphalite de saint-louis,1,A83
A834,encéphalite australienne,1,A83
A835,encéphalite de californie,1,A83
A836,maladie à virus de rocio,1,A83
A838,autres encéphalites virales transmises par des moustiques,1,A83
A839,"encéphalite virale transmise par des moustiques, sans précision",1,A83
A84,encéphalite virale transmise par des tiques,1,A84
A840,encéphalite de la taïga [encéphalite verno-estivale russe],1,A84
A841,encéphalite d'europe centrale transmise par des tiques,1,A84
A848,autres encéphalites virales transmises par des tiques,1,A84
A849,"encéphalite virale transmise par des tiques, sans précision",1,A84
A85,"autres encéphalites virales, non classées ailleurs",1,A85
A850,encéphalite à entérovirus (g05.1*),1,A85
A851,encéphalite à adénovirus (g05.1*),1,A85
A852,"encéphalite virale transmise par des arthropodes, sans précision",1,A85
A858,autres encéphalites virales précisées,1,A85
A86,"encéphalite virale, sans précision",1,A86
A87,méningite virale,1,A87
A870,méningite à entérovirus (g02.0*),1,A87
A871,méningite à adénovirus (g02.0),1,A87
A872,chorioméningite lymphocytaire,1,A87
A878,autres méningites virales,1,A87
A879,"méningite virale, sans précision",1,A87
A88,"autres infections virales du système nerveux central, non classées ailleurs",1,A88
A880,fièvre exanthémateuse à entérovirus [exanthème de boston],1,A88
A881,vertige épidémique,1,A88
A888,autres infections virales précisées du système nerveux central,1,A88
A89,"infection virale du système nerveux central, sans précision",1,A89
A90,dengue [dengue classique],1,A90
A91,fièvre hémorragique due au virus de la dengue,1,A91
A92,autres fièvres virales transmises par des moustiques,1,A92
A920,fièvre de chikungunya,1,A92
A921,fièvre due au virus o'nyong-nyong,1,A92
A922,fièvre équine vénézuélienne,1,A92
A923,fièvre due au virus west-nile,1,A92
A924,fièvre de la vallée du rift,1,A92
A928,"autres fièvres virales précisées, transmises par des moustiques",1,A92
A929,"fièvre virale transmise par des moustiques, sans précision",1,A92
A93,"autres fièvres virales transmises par des arthropodes, non classées ailleurs",1,A93
A930,fièvre d'oropouche,1,A93
A931,fièvre à phlébotome,1,A93
A932,fièvre à tiques du colorado,1,A93
A938,"autres fièvres virales précisées, transmises par des arthropodes",1,A93
A94,"fièvre virale transmise par des arthropodes, sans précision",1,A94
A95,fièvre jaune,1,A95
A950,fièvre jaune sylvatique,1,A95
A951,fièvre jaune citadine,1,A95
A959,"fièvre jaune, sans précision",1,A95
A96,fièvre hémorragique à arénavirus,1,A96
A960,fièvre hémorragique de junin,1,A96
A961,fièvre hémorragique de machupo,1,A96
A962,fièvre de lassa,1,A96
A968,autres fièvres hémorragiques à arénavirus,1,A96
A969,"fièvre hémorragique à arénavirus, sans précision",1,A96
A98,"autres fièvres hémorragiques virales, non classées ailleurs",1,A98
A980,fièvre hémorragique de crimée [du congo],1,A98
A981,fièvre hémorragique d'omsk,1,A98
A982,maladie de la forêt de kyasanur,1,A98
A983,maladie de marburg,1,A98
A984,maladie à virus ebola,1,A98
A985,fièvre hémorragique avec syndrome rénal,1,A98
A988,autres fièvres hémorragiques virales précisées,1,A98
A99,"fièvre hémorragique virale, sans précision",1,A99
B00,infections par le virus de l'herpès [herpes simplex],1,B00
B000,eczéma herpétique,1,B00
B001,dermite vésiculaire due au virus de l'herpès,1,B00
B002,gingivo-stomatite et pharyngo-amygdalite due au virus de l'herpès,1,B00
B003,méningite due au virus de l'herpès (g02.0*),1,B00
B004,encéphalite due au virus de l'herpès (g05.1*),1,B00
B005,affections oculaires dues au virus de l'herpès,1,B00
B007,maladie disséminée due au virus de l'herpès,1,B00
B008,autres formes d'infection due au virus de l'herpès,1,B00
B009,"infection due au virus de l'herpès, sans précision",1,B00
B01,varicelle,1,B01
B010,méningite varicelleuse (g02.0*),1,B01
B011,encéphalite varicelleuse (g05.1*),1,B01
B012,pneumopathie varicelleuse (j17.1*),1,B01
B018,varicelle avec autres complications,1,B01
B019,varicelle (sans complication),1,B01
B02,zona [herpes zoster],1,B02
B020,encéphalite zostérienne (g05.1*),1,B02
B021,méningite zostérienne (g02.0*),1,B02
B022,zona accompagné d'autres manifestations neurologiques,1,B02
B023,zona ophtalmique,1,B02
B027,zona disséminé,1,B02
B028,zona avec autres complications,1,B02
B029,zona (sans complication),1,B02
B03,variole,1,B03
B04,monkeypox,1,B04
B05,rougeole,1,B05
B050,rougeole compliquée d'une encéphalite (g05.1*),1,B05
B051,rougeole compliquée d'une méningite (g02.0*),1,B05
B052,rougeole compliquée d'une pneumopathie (j17.1*),1,B05
B053,rougeole compliquée d'une otite moyenne (h67.1*),1,B05
B054,rougeole avec complications intestinales,1,B05
B058,rougeole avec autres complications,1,B05
B059,rougeole (sans complication),1,B05
B06,rubéole,1,B06
B060,rubéole avec complications neurologiques,1,B06
B068,rubéole avec autres complications,1,B06
B069,rubéole (sans complication),1,B06
B07,verrues d'origine virale,1,B07
B08,"autres infections virales caractérisées par des lésions cutanéo-muqueuses, non classées ailleurs",1,B08
B080,autres infections à orthopoxvirus,1,B08
B081,molluscum contagiosum,1,B08
B082,exanthème subit [sixième maladie] [roséole infantile],1,B08
B083,érythème infectieux [cinquième maladie] [mégalérythème épiémique],1,B08
B084,"stomatite vésiculaire avec exanthème, due à un entérovirus",1,B08
B085,pharyngite vésiculaire due à un entérovirus,1,B08
B088,"autres infections virales précisées, caractérisées par des lésions cutanéo-muqueuses",1,B08
B09,"infection virale caractérisée par des lésions cutanéo-muqueuses, sans précision",1,B09
B15,hépatite aiguë a,1,B15
B150,hépatite a avec coma hépatique,1,B15
B159,hépatite a (sans coma hépatique),1,B15
B16,hépatite aiguë b,1,B16
B160,"hépatite aiguë b avec agent delta, avec coma hépatique",1,B16
B161,"hépatite aiguë b avec agent delta, sans coma hépatique",1,B16
B162,"hépatite aiguë b sans agent delta, avec coma hépatique",1,B16
B169,hépatite (aiguë) b (sans agent delta et sans coma hépatique),1,B16
B17,autres hépatites virales aiguës,1,B17
B170,(sur)infection aiguë par agent delta d'un sujet porteur de l'hépatite b,1,B17
B171,hépatite aiguë c,1,B17
B172,hépatite aiguë e,1,B17
B178,autres hépatites virales aiguës précisées,1,B17
B179,"hépatite virale aigüe, sans précision",1,B17
B18,hépatite virale chronique,1,B18
B180,hépatite virale chronique b avec agent delta,1,B18
B181,hépatite virale chronique b sans agent delta,1,B18
B182,hépatite virale chronique c,1,B18
B188,autres hépatites virales chroniques,1,B18
B189,"hépatite virale chronique, sans précision",1,B18
B19,"hépatite virale, sans précision",1,B19
B190,"hépatite virale, sans précision, avec coma",1,B19
B199,"hépatite virale, sans précision, (sans coma)",1,B19
B20,"immunodéficience humaine virale [vih], à l'origine de maladies infectieuses et parasitaires",1,B20
B200,maladie par vih à l'origine d'une infection mycobactérienne,1,B20
B201,maladie par vih à l'origine d'autres infections bactériennes,1,B20
B202,maladie par vih à l'origine d'infections à cytomégalovirus,1,B20
B203,maladie par vih à l'origine d'autres infections virales,1,B20
B204,maladie par vih à l'origine de candidose,1,B20
B205,maladie par vih à l'origine d'autres mycoses,1,B20
B206,maladie par vih à l'origine de pneumopathie à pneumocystis,1,B20
B207,maladie par vih à l'origine d'infections multiples,1,B20
B208,maladie par vih à l'origine d'autres maladies infectieuses et parasitaires,1,B20
B209,maladie par vih à l'origine d'une maladie infectieuse ou parasitaire non précisée,1,B20
B21,"immunodéficience humaine virale [vih], à l'origine de tumeurs malignes",1,B21
B210,maladie par vih à l'origine d'un sarcome de kaposi,1,B21
B211,maladie par vih à l'origine d'un lymphome de burkitt,1,B21
B212,maladie par vih à l'origine d'autres lymphomes non hodgkiniens,1,B21
B213,"maladie par vih à l'origine d'autres tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés",1,B21
B217,maladie par vih à l'origine de tumeurs malignes multiples,1,B21
B218,maladie par vih à l'origine d'autres tumeurs malignes,1,B21
B219,"maladie par vih à l'origine d'une tumeur maligne, sans précision",1,B21
B22,"immunodéficience humaine virale [vih], à l'origine d'autres affections précisées",1,B22
B220,maladie par vih à l'origine d'une encéphalopathie,1,B22
B221,maladie par vih à l'origine d'une pneumopathie lymphoïde interstitielle,1,B22
B222,maladie par vih à l'origine d'un syndrome cachectique,1,B22
B227,maladie par vih à l'origine de maladies multiples classées ailleurs,1,B22
B23,"immunodéficience humaine virale [vih], à l'origine d'autres maladies",1,B23
B230,syndrome d'infection aiguë par vih,1,B23
B231,maladie par vih à l'origine d'adénopathies généralisées (persistantes),1,B23
B232,"maladie par vih à l'origine d'anomalies hématologiques et immunologiques, non classées ailleurs",1,B23
B238,maladie par vih à l'origine d'autres états précisés,1,B23
B24,"immunodéficience humaine virale [vih], sans précision",1,B24
B240,pré-sida (a.r.c.) sans précision,1,B24
B241,sida avéré sans précision,1,B24
B249,"infection par le v.i.h., sans précision",1,B24
B25,maladie à cytomégalovirus,1,B25
B250,pneumopathie à cytomégalovirus (j17.1*),1,B25
B251,hépatite à cytomégalovirus (k77.0*),1,B25
B252,pancréatite à cytomégalovirus (k87.1*),1,B25
